"Member"	"ID"	"Name"	"Desc"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"0x002E 0x00000001"	"0x1201"	"Passive*Metric*Imperial"	"Passive*Metric*Imperial"	"Passive*Metric*Imperial"	"Passive*Metric*Imperial"	"Passive*Metric*Imperial"	"Passive*Metric*Imperial"	"Passive*Metric*Imperial"	"Passive*Metric*Imperial"	
"0x0027 0x00000001"	"0x1100"	"HMI"	"HMI"	"HMI"	"HMI"	"HMI"	"HMI"	"HMI"	"HMI"	
"0x0027 0x00000001"	"0x1103"	"Enable Line Suppression#n.a.#Disable backlight#Allways On"	"Enable Line Suppression#n.a.#Disable backlight#Allways On"	"Enable Line Suppression#n.a.#Disable backlight#Allways On"	"Enable Line Suppression#n.a.#Disable backlight#Allways On"	"Enable Line Suppression#n.a.#Disable backlight#Allways On"	"Enable Line Suppression#n.a.#Disable backlight#Allways On"	"Enable Line Suppression#n.a.#Disable backlight#Allways On"	"Enable Line Suppression#n.a.#Disable backlight#Allways On"	
"0x0027 0x00000001"	"0x1102"	"°C"	"°C"	"°C"	"°C"	"°C"	"°C"	"°C"	"°C"	
"0x0027 0x00000001"	"0x1101"	"0*1*2*3*4*5*6*7*8*9*10*not supported"	"0*1*2*3*4*5*6*7*8*9*10*not supported"	"0*1*2*3*4*5*6*7*8*9*10*not supported"	"0*1*2*3*4*5*6*7*8*9*10*not supported"	"0*1*2*3*4*5*6*7*8*9*10*not supported"	"0*1*2*3*4*5*6*7*8*9*10*not supported"	"0*1*2*3*4*5*6*7*8*9*10*not supported"	"0*1*2*3*4*5*6*7*8*9*10*not supported"	
"0x0028 0x00000001"	"0x1100"	"HMIPassword"	"HMIPassword"	"HMIPassword"	"HMIPassword"	"HMIPassword"	"HMIPassword"	"HMIPassword"	"HMIPassword"	
"0x002C 0x00000001"	"0x1100"	"Archive"	"Archive"	"Archive"	"Archive"	"Archive"	"Archive"	"Archive"	"Archive"	
"0x002C 0x00000001"	"0x1101"	"Invalid*Error*Stop*Running*ReConfigure"	"Invalid*Error*Stop*Running*ReConfigure"	"Invalid*Error*Stop*Running*ReConfigure"	"Invalid*Error*Stop*Running*ReConfigure"	"Invalid*Error*Stop*Running*ReConfigure"	"Invalid*Error*Stop*Running*ReConfigure"	"Invalid*Error*Stop*Running*ReConfigure"	"Invalid*Error*Stop*Running*ReConfigure"	
"0x001A 0x00006E57"	"0x1100"	"Trend"	"Trend"	"Trend"	"Trend"	"Trend"	"Trend"	"Trend"	"Trend"	
"0x002D 0x00000001"	"0x1100"	"Trend01"	"Trend01"	"Trend01"	"Trend01"	"Trend01"	"Trend01"	"Trend01"	"Trend01"	
"0x002D 0x00000001"	"0x1101"	"Free*Running*Stop*Erase*Full*Export"	"Free*Running*Stop*Erase*Full*Export"	"Free*Running*Stop*Erase*Full*Export"	"Free*Running*Stop*Erase*Full*Export"	"Free*Running*Stop*Erase*Full*Export"	"Free*Running*Stop*Erase*Full*Export"	"Free*Running*Stop*Erase*Full*Export"	"Free*Running*Stop*Erase*Full*Export"	
